gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	region
ABCB7	3799.3560524505	151.117025998304	-191.458027927958	150.068609626525	0.209976553991534	0.511274023399933	0.283302841848544	0.00833599558117259	0.0206663223783237	-0.0503922310214838	0.0395492539632362	-0.127908768789427	0.0271243067464592	NPX
ABCD1	435.029983561302	26.7606283770931	38.9919570609	31.3796277501241	0.221837296711324	0.527972766172952	0.0303803554254968	0.348099011271463	0.410136458824793	0.0896305048716384	0.0723425172513316	-0.0521608289409715	0.231421838684248	NPX
ACOT9	2315.14830255754	108.032797937442	-3.46332486554737	130.424374890535	0.978957950021969	0.987254203835714	-0.079744371482585	0.770161354667233	0.799266289581983	-0.00149594082665091	0.0563352571727018	-0.111913044885146	0.108921163231845	NPX
ACSL4	11608.9672989672	738.837066970793	921.097653826249	749.845586421661	0.227059709512843	0.534328998867719	0.252780214478826	0.0150467007495431	0.0336875182465268	0.0793436341153442	0.0647890183039045	-0.0476428417603087	0.206330109990997	NPX
AIFM1	4900.13236255029	243.389136113044	-315.313963760714	259.039438615178	0.23121868136092	0.534328998867719	0.160810038568972	0.0702548270790009	0.110488869018517	-0.0643480503038102	0.0529602959620548	-0.168150230389438	0.0394541297818173	NPX
AKAP17A	3116.62836906567	228.765587975472	2212.7411206838	226.351181254512	8.48390487270399e-12	3.36528226617258e-10	0.722128492370228	1.38743451324978e-09	3.30209414153447e-08	0.709979137277493	0.0893896082658173	0.534775505076491	0.885182769478495	PAR1
ALG13	1603.83791846039	115.391539048339	409.20947931383	138.71231655797	0.00548264499132118	0.0369302690924842	0.234779313733594	0.0209146494022472	0.0431591320034812	0.255143911117061	0.0884143874676154	0.0818517116805351	0.428436110553587	NPX
AMER1	875.711006655935	51.7105069039013	122.938429717066	62.9287910152173	0.0583393526923006	0.217564444239033	0.135745778084369	0.100741181695183	0.151111772542775	0.140386987011308	0.0723368035042467	-0.001393147857016	0.282167121879631	NPX
AMMECR1	1582.33791538555	76.3845459970455	-21.7625793866574	74.7525448340685	0.772579048658689	0.894685483254738	0.300403032330329	0.00587920845590903	0.0155472401389594	-0.0137534335586939	0.0472464988659948	-0.106356571336044	0.0788497042186559	NPX
AP1S2	5105.68689889134	329.776210092267	280.588709389352	321.961204878357	0.389102015354844	0.671059997496036	0.303095114175555	0.00555792063234506	0.0150316489829332	0.0549561136328747	0.0631591569324072	-0.0688358339546434	0.178748061220393	NPX
APEX2	3153.68924467422	95.1806397935133	-134.751248267516	90.3629176041681	0.144380227407488	0.41905480637783	0.39980864537338	0.000580781941775835	0.00258548804388166	-0.0427281313449245	0.028682086891547	-0.0989450216523567	0.0134887589625077	NPX
APOO	974.720936648916	28.2732670944919	-40.2926712916539	31.6403200524911	0.210797464466019	0.511274023399933	0.0772227482172607	0.212008518314828	0.271371030998004	-0.0413376483223802	0.0324830395326136	-0.105004405806303	0.0223291091615424	NPX
APOOL	1781.87916207026	64.1528139230087	-103.042102378814	64.0409041028368	0.116115889520536	0.360464109207228	0.267804899378517	0.0113089322095625	0.0270593376173601	-0.0578277722598743	0.0360003461878731	-0.128388450788106	0.0127329062683569	NPX
ARAF	4456.79760178468	128.047276652526	-300.249916590523	132.525023695272	0.0294181982253632	0.141922929276414	0.332557398038995	0.00293781630399278	0.00961248345618407	-0.0673689818156182	0.029798410697914	-0.12577386678353	-0.0089640968477068	NPX
ARHGAP4	3357.21500023331	133.559641693756	-127.880694647705	131.815066789796	0.338270146438312	0.622175450449098	0.355249288594538	0.00174620990457281	0.00629693874679285	-0.0380913032495143	0.0392924512273003	-0.115104507655023	0.0389219011559942	NPX
ARHGAP6	1572.60796922427	186.46790685174	-256.059668811675	202.241866607545	0.213388878113698	0.511274023399933	0.199873309141896	0.0380971391451306	0.0669984171172987	-0.162824857703082	0.13004397442647	-0.417711047578963	0.0920613321727993	NPX
ARHGEF6	2797.65885394042	185.519956982766	437.979047412303	200.156693468114	0.0350469917043339	0.15639720048059	0.440456047311219	0.000192462343400586	0.00108336078286767	0.156551985169823	0.0722936181671138	0.0148564935622797	0.298247476777366	NPX
ARHGEF9	1508.99478114817	86.8898718071478	-27.06729084161	95.9336602797049	0.779403880370374	0.894685483254738	0.123545794718915	0.118977898380315	0.168643398792993	-0.0179372991740998	0.0635829369054408	-0.142559855508764	0.106685257160564	NPX
ARMCX1	249.754455755859	37.5191832488103	-102.220579019751	46.3742314280755	0.0338053696076301	0.154724576281076	0.0627636612255463	0.249454838376293	0.310297481882706	-0.409284305700932	0.195594317914176	-0.792649168812717	-0.025919442589148	NPX
ARMCX2	1345.49284696458	116.37507355815	57.7489474132577	130.108365996436	0.659734085808383	0.838167504034137	0.131368047315368	0.107011822326768	0.157214899467721	0.042920293142798	0.0967706420949697	-0.146750165363343	0.232590751648939	NPX
ARMCX3	4939.08118929246	193.715765324217	-271.921384445038	234.1424265931	0.252937084685575	0.560860492128884	-0.0469659866957524	0.643705266814599	0.688032276206024	-0.055055054578682	0.0474552217951015	-0.148067289297081	0.037957180139717	NPX
ARMCX5	978.547509111596	33.6169287685	-75.2087702839693	38.4750627882184	0.0582009534355943	0.217564444239033	0.232440741627366	0.0218066953467218	0.0444635765092679	-0.0768575563104237	0.0394070976860486	-0.154095467775079	0.000380355154231543	NPX
ARMCX6	1643.86376443264	53.1052684524601	-118.177933407162	57.2523060048318	0.0460668837027162	0.186884971384883	0.183660505775229	0.0494828521145777	0.0829360479103485	-0.0718903451515338	0.0349052371556119	-0.140304609976533	-0.00347608032653451	NPX
ASMTL	2467.11335773211	283.498634459332	1407.57527140983	323.358141696017	0.00010186627286872	0.00125400894531493	0.329641609405623	0.00313502890399268	0.0099044718471273	0.570535304751357	0.146549942414015	0.283297417619888	0.857773191882826	PAR1
ATG4A	1503.22900687636	63.4075336187734	-102.865487961482	72.0168975775421	0.161578130805785	0.44033124196691	0.0585350588804674	0.261187569315338	0.321530904295088	-0.0684296853579427	0.0479950081585646	-0.162499901348729	0.025640530632844	NPX
ATP11C	3614.3219130827	198.01763120837	216.316107219732	178.581087152166	0.233458587613986	0.534328998867719	0.419330576185432	0.000346042396771988	0.00166942075199459	0.0598497069219916	0.0495179752230337	-0.0372055245151545	0.156904938359138	NPX
ATP6AP1	3619.52915196	168.613411519585	-277.783751074401	165.65794961584	0.10200190985052	0.331042561969415	0.331097940650127	0.00303508593392958	0.00967433641440052	-0.0767458250540624	0.0459072417613032	-0.166724018906217	0.0132323687980919	NPX
ATP6AP2	6814.22587918673	271.793989232747	-130.491546520875	247.649303341751	0.601393787341181	0.819456420155731	0.385065686162832	0.000846167218391157	0.00331957908753454	-0.019149870995537	0.0363510098249462	-0.0903978502524315	0.0520981082613575	NPX
ATP7A	4038.88550561995	331.378072678742	-139.491381622864	288.527403863617	0.631618211465106	0.827372631217408	0.438370639115663	0.000204194953915406	0.00112150151612	-0.0345370972830915	0.0714935597576725	-0.17466447440813	0.105590279841947	NPX
ATRX	6877.10009075856	377.819335096745	-32.3855298273164	327.555023408615	0.92177481596739	0.958106968693967	0.487655538484943	4.65828699069052e-05	0.000332601691135303	-0.00470918401650661	0.047630520314651	-0.0980650038332225	0.0886466358002093	NPX
BCAP31	3846.25400311106	160.723184266987	44.8739506088136	179.517655722286	0.803993600509252	0.910532170246927	0.133631123950692	0.103732821480959	0.154302571952927	0.0116669233421706	0.046675921218252	-0.0798178822456033	0.103151728929945	NPX
BCOR	2261.83701366597	150.916977634763	304.221909876189	145.402325435934	0.0433316279252471	0.1841594186823	0.508949417785765	2.32762130367268e-05	0.000184657956758033	0.134502136112411	0.0649084651314907	0.00728154445468884	0.261722727770133	NPX
BEX2	223.266537293362	22.5690861109844	-92.17297690566	26.2344237657184	0.00118544429447143	0.00984194449130931	0.221123968694449	0.0266046602405798	0.0507888402183093	-0.412838296428402	0.124693449059167	-0.657237456584371	-0.168439136272434	NPX
