2703_XX	3429_XXY	3442_XXY	6029_XX	7089B_XXY	7194A_XXY	7205B_XX	7246B_XX	7249B_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7304B_XXYY	7307A_XXY	7367A_XX_tri21	7368A_XX	7369A_XX_tri21	7370A_XX_tri21	7372A_XX_tri21	7389A_XX	7478A_XXYY
IRAK1	NA	NA	NA	NA	NA	0	0.0170333403623281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ITM2A	NA	NA	0.0358126721763081	0.0963855421686744	NA	0.23841334104492	0.183982501892825	NA	0	0.0880342628242522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0553954530899775	0.00666879131778924
JPX	0.254629629629629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.152078774617068	NA	NA	NA	0.545454545454545	0.6	NA	0.6	NA	NA	NA
KDM5C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.511050724637682	NA	NA	NA	NA	NA	0.674463467566916	NA
KDM6A	NA	NA	0.466950959488273	0.956989247311828	NA	1	NA	NA	0.799139167862267	0.545867393278838	NA	NA	0.735446792732666	NA	NA	0.945945945945946	0.757575757575758	0.774193548387097	NA	NA	NA	0.85941893158388
KIF4A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.00321543408360103	NA	NA	NA
KLHL15	NA	NA	NA	0.615384615384615	NA	0.0298507462686571	0	NA	NA	0.145133317720029	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0909090909090914	NA
LAGE3	NA	NA	NA	NA	NA	NA	NA	0.110118479149049	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMP2	NA	NA	NA	NA	NA	NA	0	0.00187117322156818	0.0987224157955863	0.00161935231068241	0.907178217821782	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0987032727453653
LAS1L	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAGED1	NA	NA	0.249249249249249	0	NA	NA	0.0333080443454638	0.0331087020216818	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAGED2	NA	NA	0.0727581877862604	0.00135315531768801	NA	NA	0	NA	0.0178001232191473	0.0308086154635764	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MAGEH1	NA	NA	NA	NA	NA	0.0401146131805164	0.0348586351765643	0.0112239444147515	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.114791547687036
MAP7D2	0.272727272727273	0.131578947368421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.135135135135135	0.446808510638298	NA	NA	NA	0.156862745098039	NA	0.402390438247011
MAP7D3	NA	NA	0.156476752939522	NA	NA	0.0306521923142036	NA	NA	0.0754202554170899	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0.237764764184654
MBNL3	NA	NA	NA	0	NA	NA	0.0764684152198011	NA	NA	0.0655107877357433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0873200700867208
MBTPS2	0.111111111111111	NA	0	NA	NA	NA	NA	0.0150265062911155	NA	0	NA	0	NA	NA	NA	NA	NA	NA	0.0721649484536085	NA	0.010840460654587	0
MECP2	NA	NA	NA	NA	NA	NA	0.00373599003735987	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED12	NA	NA	NA	NA	NA	0	NA	0.0249187432286024	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MED14	NA	NA	NA	NA	NA	NA	0.0548204158790174	NA	0.114497528830313	0	NA	0.019607843137255	NA	0.132075471698113	NA	NA	NA	NA	0.069926337141027	NA	NA	NA
MID1IP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.106078665077473
MMGT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
MORF4L2	NA	NA	NA	NA	NA	0	0.0558545839583522	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0917146654851574
MOSPD1	NA	NA	NA	NA	NA	NA	0.0605703038061687	0.0778327829092544	NA	NA	NA	0.00695134061569055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MOSPD2	NA	NA	NA	0.0163934426229505	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MPP1	NA	NA	NA	NA	NA	NA	0.0270838811464634	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MSL3	NA	NA	0.341550790066225	NA	0.9	0.338235294117647	0.0639625585023407	NA	NA	NA	NA	NA	0.340579710144927	0.472114764667956	0.667722595063256	NA	0.454721901597609	NA	0.411764705882353	NA	0.25903771554557	NA
MTMR1	NA	NA	0.183501110040541	0	NA	NA	0	0	NA	0.0211810012836967	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0.101220474831502
NAA10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.101796407185629	0.230769230769231	NA	NA
NONO	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NSDHL	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NXT2	NA	NA	0.101796407185628	0	NA	0	0.0648854961832058	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
OCRL	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0533398132838069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTUD5	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P2RY10	0.120401337792642	NA	0.274283587644213	0.0769230769230769	0.168443496801706	0	NA	NA	NA	0.0916726309639279	NA	NA	NA	0.146341463414634	NA	NA	0.301324503311258	NA	0.0327936903279364	0.151020408163265	0.0431125131440586	0.0677885075054979
P2RY8	0.819592750434077	NA	NA	0.845178713909635	NA	NA	0.801195682699485	1	NA	0.746008278419994	0.712217977302439	NA	0.821107574327913	NA	NA	0.648563218390805	0.90543939732871	0.779469407052569	0.721077587548124	0.891995221027479	0.754859417732718	NA
PDHA1	NA	NA	NA	NA	NA	NA	NA	NA	0.0883660436810203	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDK3	NA	NA	0.306906017616412	0.0434235709995798	NA	0	0.174701354313583	0.0331087020216818	0.159017787345657	NA	NA	NA	NA	NA	NA	0.133689839572192	NA	NA	0	NA	0	NA
PGK1	NA	NA	0.0445054413722819	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0.0459363957597173	NA	NA	NA
PGRMC1	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PHF6	NA	NA	NA	NA	NA	NA	NA	NA	0.0665923655614376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
PHF8	NA	NA	NA	NA	NA	NA	NA	0.10802775024777	0.0639804026048363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
PIGA	NA	NA	NA	0.101123595505618	NA	NA	NA	0.0170174368359514	NA	0.215915936014993	NA	0.187817258883249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PIN4	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
PIR	NA	NA	NA	NA	NA	NA	NA	NA	0.132446500867554	0	NA	0.0245677555789254	NA	NA	NA	NA	NA	NA	0	NA	0.0493512689230978	0.16581545795029
PJA1	NA	NA	NA	0.0550009786651006	NA	NA	0	NA	0.342105263157894	0.00550763801509833	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
PLCXD1	0.521739130434783	NA	NA	0.612702952085892	NA	NA	0	0.895068205666317	0.349844792285846	0.156958920907419	0.702352931277298	0.0885063330805197	0.469919002566062	NA	NA	0.398502304147465	0.372923588039867	0.380555555555556	0.394859092418138	0.585128569338152	0.685894753367164	NA
PLP2	NA	NA	0.1005291005291	NA	NA	NA	NA	0.00648311863265136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
PLXNA3	0.148148148148148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNPLA4	1	NA	1	NA	0.633333333333333	0.772727272727272	NA	NA	0.310141509433962	1	NA	1	0.5	0.636363636363636	0.666666666666667	NA	0.857142857142857	0.643097643097643	0.431578947368422	NA	NA	NA
POLA1	NA	NA	NA	0.0413223140495865	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PRKX	0.737470333659082	0.488809523809524	0.297259829078973	0.731117500904915	0.602665277970841	0.428057672354842	NA	0.762219588732261	0.265822271566265	0.68243007061868	0.592633597657885	0.700149284650982	0.930354412407165	0.684297992208179	0.6	0.633802816901408	0.414835164835165	0.628429089026915	0.402336259387439	0.787766678998644	0.462092137817152	NA
