Sample.Name	Gene.name	AR_mean	Num_snps	skewing_coeff	AR_adj	Skewed_XCI
7168C_XX	HDAC8	0.333333333333333	1	0.59	0	FALSE
7168C_XX	AR	0.571428571428571	1	0.59	0	FALSE
7168C_XX	FGD1	0.728813559322034	1	0.59	0.068684516880093	FALSE
7168C_XX	IQSEC2	0.555555555555556	1	0.59	0	FALSE
7168C_XX	CCDC22	0.6	1	0.59	0	FALSE
7168C_XX	TBC1D25	0.694444444444444	1	0.59	0	FALSE
7168C_XX	ARAF	0.380769230769231	2	0.59	0	FALSE
7168C_XX	KDM6A	0.852941176470588	1	0.59	0.388004895960831	FALSE
7168C_XX	ATP6AP2	0.761300967130172	5	0.59	0.140958179632753	FALSE
7168C_XX	TAB3	0.619047619047619	2	0.59	0	FALSE
7168C_XX	SAT1	0.625	1	0.59	0	FALSE
7168C_XX	SYAP1	0.825892857142857	2	0.59	0.307405434203516	FALSE
7168C_XX	GRPR	0.521428571428571	3	0.59	0	FALSE
7168C_XX	PIR	0.111111111111111	1	0.59	0	FALSE
7168C_XX	TMSB4X	0.794871794871795	1	0.59	0.223300970873787	FALSE
7168C_XX	WWC3	0.741935483870968	1	0.59	0.0970654627539507	FALSE
7168C_XX	TBL1X	0.585714285714285	2	0.59	0	FALSE
7168C_XX	PNPLA4	0.634615384615384	2	0.59	0	FALSE
7168C_XX	PUDP	0.774131622345908	7	0.59	0.1714476248181	FALSE
7168C_XX	XG	0.772273249493065	5	0.59	0.166958907378959	FALSE
7168C_XX	ZBED1	0.803082383264385	5	0.59	0.244763099754889	FALSE
7168C_XX	ASMTL	0.942857142857143	1	0.59	0.719101123595506	FALSE
7168C_XX	SLC25A6	0.903448275862069	1	0.59	0.560301507537688	FALSE
7168C_XX	UTP14A	0.537037037037037	1	0.59	0	FALSE
7168C_XX	DDX3X	0.959128065395095	1	0.59	0.792272538429578	FALSE
7168C_XX	GDI1	0.72	1	0.59	0.0502035278154679	FALSE
7168C_XX	XIST	0.672873422873423	3	0.59	0	FALSE
7168C_XX	FTX	0.66025641025641	4	0.59	0	FALSE
7168C_XX	JPX	1	1	0.59	1	FALSE
7168C_XX	NHSL2	0.626984126984127	4	0.59	0	FALSE
7194D_XXY	DNASE1L1	0.517674817674817	3	0.68	0.062251863318809	FALSE
7194D_XXY	EFNB1	0.291666666666667	1	0.68	0	FALSE
7194D_XXY	ARSD	0.265217391304348	2	0.68	0	FALSE
7194D_XXY	MXRA5	0.622909894395527	12	0.68	0.215488754225059	FALSE
7194D_XXY	STS	0.88013468013468	3	0.68	0.699100682940023	FALSE
7194D_XXY	NXT2	0.39	2	0.68	0	FALSE
7194D_XXY	WDR13	0.619047619047619	1	0.68	0.209486166007905	FALSE
7194D_XXY	ABCD1	0.509154040404041	3	0.68	0.0507179136550112	FALSE
7194D_XXY	FMR1	0.484848484848485	2	0.68	0.0184757505773669	FALSE
7194D_XXY	HUWE1	0.379310344827586	1	0.68	0	FALSE
7194D_XXY	HTATSF1	0.540540540540541	1	0.68	0.0938166311300648	FALSE
7194D_XXY	THOC2	0.625	1	0.68	0.21875	FALSE
7194D_XXY	SLC35A2	0.582089552238806	1	0.68	0.153567110036276	FALSE
7194D_XXY	STARD8	0.473214285714285	2	0.68	0.00337837837837816	FALSE
7194D_XXY	EDA2R	0.6	1	0.68	0.180327868852459	FALSE
7194D_XXY	WDR44	0.570998445998446	4	0.68	0.1373046875	FALSE
7194D_XXY	MORC4	0.439024390243902	1	0.68	0	FALSE
7194D_XXY	PRKX	0.714285714285714	1	0.68	0.367088607594936	FALSE
7194D_XXY	RRAGB	0.366666666666667	1	0.68	0	FALSE
