Sample.Name	Gene.name	AR_mean	Num_snps	skewing_coeff	AR_adj	Skewed_XCI
2690_XX	FTSJ1	1	1	0.55	1	FALSE
2690_XX	OTUD5	0.131578947368421	1	0.55	0	FALSE
2690_XX	SLC25A43	0.653846153846154	1	0.55	0	FALSE
2690_XX	WDR13	0.785714285714286	1	0.55	0	FALSE
2690_XX	ABCD1	0.833333333333333	2	0.55	0.0476190476190471	FALSE
2690_XX	FMR1	0.773809523809524	2	0.55	0	FALSE
2690_XX	RAB9A	0.894557823129252	1	0.55	0.284890426758941	FALSE
2690_XX	SLC35A2	0.509090909090909	1	0.55	0	FALSE
2690_XX	CFP	0.918918918918919	1	0.55	0.405940594059407	FALSE
2690_XX	EIF2S3	0.964404077694341	2	0.55	0.693186646296815	FALSE
2690_XX	VAMP7	0.831111111111111	2	0.55	0.0404040404040421	FALSE
2690_XX	PRKX	0.876249082306876	4	0.55	0.205134712523229	FALSE
2690_XX	SLC10A3	0.75	1	0.55	0	FALSE
2690_XX	TAF1	0.891891891891892	1	0.55	0.272727272727274	FALSE
2690_XX	NONO	0.826086956521739	1	0.55	0.0243902439024392	FALSE
2690_XX	DOCK11	0.828288690476191	4	0.55	0.0313576858019491	FALSE
2690_XX	AIFM1	0.813953488372093	1	0.55	0	FALSE
2690_XX	TAB3	0.925	2	0.55	0.439252336448598	FALSE
2690_XX	MECP2	0.888888888888889	1	0.55	0.25925925925926	FALSE
2690_XX	ZFX	0.695161782661783	5	0.55	0	FALSE
2690_XX	ZRSR2	0.754385964912281	1	0.55	0	FALSE
2690_XX	BTK	0.805785123966942	1	0.55	0	FALSE
2690_XX	ZNF41	0.923076923076923	1	0.55	0.428571428571428	FALSE
2690_XX	AKAP17A	0.803708040443509	5	0.55	0	FALSE
2690_XX	TFE3	0.930555555555556	1	0.55	0.470899470899474	FALSE
2690_XX	MAP7D3	0.928422619047619	4	0.55	0.458607687545726	FALSE
2690_XX	CA5B	0.5	1	0.55	0	FALSE
2690_XX	SSR4	0.65625	2	0.55	0	FALSE
2690_XX	HCCS	1	1	0.55	1	FALSE
2690_XX	FAM3A	0.964452214452215	2	0.55	0.693544335594073	FALSE
2690_XX	MED14	0.824324324324324	1	0.55	0.0188679245283014	FALSE
2690_XX	GTPBP6	0.901098901098901	1	0.55	0.315589353612167	FALSE
2690_XX	MAGED1	1	1	0.55	1	FALSE
2690_XX	ARMCX2	0.375	1	0.55	0	FALSE
2690_XX	RBBP7	0.800987723659715	7	0.55	0	FALSE
2690_XX	IL3RA	0.646480278094132	4	0.55	0	FALSE
2690_XX	DHRSX	0.953125	1	0.55	0.612903225806452	FALSE
2690_XX	MID1IP1	0.727272727272727	1	0.55	0	FALSE
2690_XX	ZNF449	0.571428571428571	1	0.55	0	FALSE
2690_XX	RPGR	0.909090909090909	1	0.55	0.354838709677419	FALSE
2690_XX	WASH6P	0.56517094017094	2	0.55	0	FALSE
2690_XX	GSPT2	0.625	1	0.55	0	FALSE
2690_XX	IDS	0.770519879272699	5	0.55	0	FALSE
2690_XX	BCOR	0.576923076923077	1	0.55	0	FALSE
2690_XX	SOWAHD	0.62962962962963	3	0.55	0	FALSE
2690_XX	ARHGAP4	0.864864864864865	1	0.55	0.15966386554622	FALSE
2690_XX	RBM3	0.738839221761535	4	0.55	0	FALSE
2690_XX	STK26	0.304347826086957	1	0.55	0	FALSE
2690_XX	XIAP	0.762462964386041	13	0.55	0	FALSE
2690_XX	PDHA1	0.904761904761904	2	0.55	0.333333333333332	FALSE
2690_XX	SASH3	0.833688699360341	1	0.55	0.048780487804878	FALSE
2690_XX	OCRL	0.583333333333333	1	0.55	0	FALSE
2690_XX	LAGE3	0.752127659574468	2	0.55	0	FALSE
2690_XX	CTPS2	0.8125	2	0.55	0	FALSE
2690_XX	TRAPPC2	0.743589743589744	3	0.55	0	FALSE
2690_XX	MBTPS2	0.809597523219814	2	0.55	0	FALSE
2690_XX	UBL4A	0.893192918192918	3	0.55	0.278638504911814	FALSE
2690_XX	ZNF275	0.826730994152047	5	0.55	0.0264202897836398	FALSE
2690_XX	NSDHL	0.8	1	0.55	0	FALSE
2690_XX	SLC9A6	0.789473684210526	1	0.55	0	FALSE
2690_XX	ZNF280C	0.5	1	0.55	0	FALSE
2690_XX	LAMP2	0.787878787878788	1	0.55	0	FALSE
2690_XX	IL13RA1	0.454545454545455	1	0.55	0	FALSE
2690_XX	RBM41	0.883279914529915	4	0.55	0.234743017248928	FALSE
2690_XX	BEX2	0.571428571428571	1	0.55	0	FALSE
2690_XX	BEX4	0.73015873015873	1	0.55	0	FALSE
2690_XX	TRMT2B	0.789473684210526	1	0.55	0	FALSE
2690_XX	APOOL	0.558333333333333	3	0.55	0	FALSE
2690_XX	SH3BGRL	0.796747967479675	1	0.55	0	FALSE
2690_XX	ITM2A	0.5625	1	0.55	0	FALSE
2690_XX	CHIC1	1	1	0.55	1	FALSE
2690_XX	KIF4A	0.666666666666667	1	0.55	0	FALSE
2690_XX	ZXDB	0.842105263157895	1	0.55	0.0769230769230785	FALSE
2690_XX	FAAH2	0.708333333333333	2	0.55	0	FALSE
2690_XX	SPIN3	1	1	0.55	1	FALSE
2690_XX	PLP2	0.694044665012407	2	0.55	0	FALSE
2690_XX	GRIPAP1	0.934210526315789	1	0.55	0.492385786802028	FALSE
2690_XX	TIMM17B	0.76536312849162	1	0.55	0	FALSE
2690_XX	TBC1D25	0.941675503711559	2	0.55	0.538009239815205	FALSE
2690_XX	KDM6A	0.742424242424242	1	0.55	0	FALSE
